langKey,langMsg
code_cards_err,房卡不足
code_diamond_err,钻石不足
code_0,创建房间失败
code_1,没有找到该房间:{0}
code_2,请选择恢复房间[{0}]
code_3,参数错误
code_4,已加入了该房间
code_5,房间人数已满
code_6,人数未满
code_7,成员离线，无法出牌
code_8,该房间已被解散:[{0}]
code_9,该房间已进行到第[{0}]局，不能退出
code_10,牌局已开始，该房间不能退出
code_11,房主不能退出
code_12,跑得快没有找到该房间
code_13,麻将没有找到该房间
code_14,操作过于频繁
code_15,检查玩家操作失败，请重试{0}
code_16,操作失败
code_17,开房第一局出的牌必须包含黑桃三
code_18,局数错误{0}
code_19,比赛场不能解散
code_20,比赛场不能退出
code_21,牌局已开始，该房间不能加入
code_22,还有玩家未准备
code_23,杠后摸王不能过
code_24,杠牌失败！该牌杠后无法听牌！
code_25,比赛场不能创建房间
code_26,您当前不是托管状态，无需取消托管
code_27,您当前处于托管状态，无需设置托管
code_28,至少6人才能开始游戏
code_29,等待其他玩家操作
code_30,恭喜：[{0}]人品爆发，抽中[{1}]大奖！
code_31,服务器正在维护，10-30秒后恢复
code_32,没有找到正在打牌的房间
code_33,没有找到该玩家:{0}
code_34,该房间已经开始游戏，无法中途加入
code_35,第一轮必须出红桃4
code_36,还没有轮到您出牌
code_37,不能出
code_38,要不起
code_39,已经签过到了
code_40,已无牌可换
code_41,必须4人准备才能开始游戏
code_42,[{0}]房间存在玩家，不能解散
code_43,您无权解散房间
code_44,最后一局正在进行中，不许中途加入
code_45,道具发送间隔时间不能小于3秒
code_46,该房间不允许三带一
code_47,该房间不允许三带二
code_48,该牌局模式不存在
code_49,您不是该亲友圈成员，无法加入
code_50,群主钻石不足，无法创建房间
code_51,至少4人准备才能开始游戏
code_52,非亲友圈成员不能选择该模式
code_53,非亲友圈成员不能加入该房间
code_54,非群成员或者非指定群成员不能加入房间
code_57,房间已被{0}解散
code_58,您的客户端不支持该玩法
code_59,解散失败，请稍后再试!
code_60,该房间已被群主解散:[{0}]
code_61,至少4人才能开始游戏
code_62,您不是亲友圈成员无法创房！
code_63,您不是{0}亲友圈成员
code_200,创建房间失败，未开启GPS
code_201,加入房间失败，未开启GPS
code_202,加入房间失败，距离过近!
code_203,精彩活动已过期！
code_204,未开局的游戏，暂不能解散
code_205,请先加入亲友圈
code_206,消息太长
code_207,消息为空
code_208,未定义的操作指令
code_209,还未达成条件，暂不能领取！
code_210,还有玩家未准备，请稍后切牌
code_211,最多只能代开10个房间
code_212,您在别的游戏有未解散的房间！
code_213,商品不存在或已下架
code_214,商品项不存在
code_215,积分不足
code_216,兑换失败！兑换后剩余积分不能低于{0}
code_217,房间已解散
code_218,牌局未开始
code_219,您已领取过奖励！
code_220,条件不满足，领取失败！
code_221,该玩家正在打比赛场
code_222,应进入:{0}房间:{1}-{2}-{3}
code_223,您已经登陆游戏啦
code_224,没有抽奖机会了，继续玩游戏赚取抽奖机会！
code_225,请稍后再试
code_226,您已报名参赛！
code_227,请先完成您正在进行的牌局再来报名
code_228,太火爆了，人数已满，请参加下一场
code_229,请刷新再试
code_230,比赛已开始，暂时不能退出哦
code_231,您暂时没有可领取的钻石
code_232,你的IP为空，不能解散
code_233,该房间不存在，解散失败
code_234,当前牌局不存在相同IP玩家，解散失败
code_235,该房间有相同IP，解散房间成功
code_236,当前牌局不存在相同IP玩家，解散失败
code_237,您今日已砸蛋三次！
code_238,您没有砸蛋次数了！
code_239,没有找到该玩法:{0}
code_240,您正在比赛场中
code_241,未设置玩法，请联系群主
code_242,亲友圈不存在或已解散！
code_243,禁止成员开房，请联系群主或管理员！
code_244,群主已开启群主支付
code_245,钻石不足！智能补房失败！
code_246,群主未开启群主支付
code_247,您已经拥有一个房间了！
code_248,已达到创房上限！
code_249,您已被踢下线
code_250,您超过{0}天未登录游戏，欢迎回归，获得{1}钻石奖励！
code_901,金币场暂未开放
code_902,补助金暂未开放
code_903,金币不足
code_904,不能进入{0}
code_905,今日领取补助金已达上限
code_906,金币场聊天室暂未开放
code_907,您的金币太多了，请前往更高级的场次赚金
code_908,该昵称{0}不合法哦！请另取高名！
code_909,{0}暂未开放！
other_err_78,试炼NPC